Prefix;Url
a;http://purl.oclc.org/ooxml/drawingml/main
a12;http://schemas.microsoft.com/office/drawing/2012/main
a14;http://schemas.microsoft.com/office/drawing/2010/main
a1611;http://schemas.microsoft.com/office/drawing/2016/11/main
a3danim;http://schemas.microsoft.com/office/drawing/2018/animation/model3d
aanim;http://schemas.microsoft.com/office/drawing/2018/animation
ac14;http://schemas.microsoft.com/office/drawing/2014/chart/ac
acd;http://schemas.microsoft.com/office/drawing/2010/chartDrawing
acmd;http://schemas.microsoft.com/office/drawing/2013/main/command
ad;http://schemas.microsoft.com/office/drawing/2010/diagram
aink;http://schemas.microsoft.com/office/drawing/2016/ink
am;http://schemas.microsoft.com/office/drawing/2014/main
am3d;http://schemas.microsoft.com/office/drawing/2017/model3d
b;http://purl.oclc.org/ooxml/officeDocument/bibliography
c;http://purl.oclc.org/ooxml/drawingml/chart
cdr;http://purl.oclc.org/ooxml/drawingml/chartDrawing
ch;http://purl.oclc.org/ooxml/officeDocument/characteristics
chr;http://schemas.microsoft.com/office/drawing/2014/chart
chr12;http://schemas.microsoft.com/office/drawing/2012/chart
chr17;http://schemas.microsoft.com/office/drawing/2017/03/chart
cp;http://purl.oclc.org/ooxml/officeDocument/customProperties
cr;http://schemas.microsoft.com/office/comments/2020/reactions
cs;http://schemas.microsoft.com/office/drawing/2020/classificationShape
cs12;http://schemas.microsoft.com/office/drawing/2012/chartStyle
cx;http://schemas.microsoft.com/office/drawing/2014/chartex
cxml;http://purl.oclc.org/ooxml/officeDocument/customXml
d1611;http://schemas.microsoft.com/office/drawing/2016/11/diagram
d1612;http://schemas.microsoft.com/office/drawing/2016/12/diagram
dc;http://schemas.openxmlformats.org/drawingml/compatibility
dec;http://schemas.microsoft.com/office/drawing/2017/decorative
dgm;http://purl.oclc.org/ooxml/drawingml/diagram
ep;http://purl.oclc.org/ooxml/officeDocument/extendedProperties
hc;http://schemas.microsoft.com/office/drawing/2018/hyperlinkcolor
if;http://schemas.microsoft.com/office/drawing/2022/imageformula
ink;http://schemas.microsoft.com/ink/2010/main
inkml;http://www.w3.org/2003/InkML
lc;http://purl.oclc.org/ooxml/drawingml/lockedCanvas
lf;http://schemas.microsoft.com/office/drawing/2021/livefeed
m;http://purl.oclc.org/ooxml/officeDocument/math
o;urn:schemas-microsoft-com:office:office
oel;http://schemas.microsoft.com/office/2019/extlst
oem;http://schemas.microsoft.com/office/word/2020/oembed
p;urn:schemas-microsoft-com:office:powerpoint
pic;http://purl.oclc.org/ooxml/drawingml/picture
pic10;http://schemas.microsoft.com/office/drawing/2010/picture
pm;http://purl.oclc.org/ooxml/presentationml/main
r;http://purl.oclc.org/ooxml/officeDocument/relationships
s;http://purl.oclc.org/ooxml/officeDocument/sharedTypes
sc;http://schemas.microsoft.com/office/drawing/2021/scriptlink
sl;http://purl.oclc.org/ooxml/schemaLibrary/main
sm;http://purl.oclc.org/ooxml/spreadsheetml/main
ss;http://schemas.microsoft.com/office/drawing/2018/sketchyshapes
svg;http://schemas.microsoft.com/office/drawing/2016/SVG/main
tsl;http://schemas.microsoft.com/office/drawing/2012/timeslicer
v;urn:schemas-microsoft-com:vml
vt;http://purl.oclc.org/ooxml/officeDocument/docPropsVTypes
w;http://purl.oclc.org/ooxml/wordprocessingml/main
w14;http://schemas.openxmlformats.org/wordprocessingml/2010/main
w15;http://schemas.microsoft.com/office/word/2012/wordml
w16;http://schemas.microsoft.com/office/word/2018/wordml
w16cex;http://schemas.microsoft.com/office/word/2018/wordml/cex
w16cid;http://schemas.microsoft.com/office/word/2016/wordml/cid
w16du;http://schemas.microsoft.com/office/word/2023/wordml/word16du
w16sdtdh;http://schemas.microsoft.com/office/word/2020/wordml/sdtdatahash
w16se;http://schemas.microsoft.com/office/word/2015/wordml/symex
wp;http://purl.oclc.org/ooxml/drawingml/wordprocessingDrawing
wp14;http://schemas.microsoft.com/office/word/2010/wordprocessingDrawing
wpc;http://schemas.microsoft.com/office/word/2010/wordprocessingCanvas
wpd;http://schemas.microsoft.com/office/word/2012/wordprocessingDrawing
wpg;http://schemas.microsoft.com/office/word/2010/wordprocessingGroup
wps;http://schemas.microsoft.com/office/word/2010/wordprocessingShape
wvml;urn:schemas-microsoft-com:office:word
x;urn:schemas-microsoft-com:office:excel
xdr;http://purl.oclc.org/ooxml/drawingml/spreadsheetDrawing
xml;http://www.w3.org/XML/1998/namespace
xsd;http://www.w3.org/2001/XMLSchema
